"x"
"Petromyzon marinus"
"Huso huso"
"Acipenser baerii"
"Dipturus oxyrinchus"
"Dipturus batis"
"Dipturus nidarosiensis"
"Raja brachyura"
"Raja montagui"
"Leucoraja circularis"
"Leucoraja naevus"
"Lampetra fluviatilis"
"Lampetra planeri"
"Lethenteron camtschaticum"
"Myliobatis aquila"
"Rajella lintea"
"Rajella fyllae"
"Leucoraja fullonica"
"Raja clavata"
"Amblyraja hyperborea"
"Galeocerdo cuvier"
"Prionace glauca"
"Oxynotus paradoxus"
"Pseudocarcharias kamoharai"
"Mitsukurina owstoni"
"Cetorhinus maximus"
"Somniosus microcephalus"
"Mustelus mustelus"
"Carcharhinus longimanus"
"Galeus melastomus"
"Isurus paucus"
"Carcharodon carcharias"
"Scyliorhinus canicula"
"Scyliorhinus stellaris"
"Megachasma pelagios"
"Mustelus asterias"
"Hexanchus griseus"
"Alopias vulpinus"
"Sphyrna zygaena"
"Etmopterus princeps"
"Centroscyllium fabricii"
"Etmopterus spinax"
"Lamna nasus"
"Deania calcea"
"Ammodytes marinus"
